provider_id,provider_state,drg_definition,drg_category,total_discharges,average_covered_charges,average_total_payments,average_medicare_payments,cost_to_charge_ratio
Provider_0147,MN,KIDNEY TRANSPLANT,Renal,200,12187.97,4397.01,3842.45,0.3608
Provider_0006,NY,HEART FAILURE & SHOCK,Cardiovascular,15,30191.94,10440.14,8789.91,0.3458
Provider_0116,FL,DIGESTIVE MALIGNANCY,Digestive,326,12958.24,5381.97,5083.5,0.4153
Provider_0054,CT,RESPIRATORY INFECTIONS,Respiratory,47,11473.29,3811.15,3274.56,0.3322
Provider_0155,KY,CHEMOTHERAPY,Oncology,22,20857.64,8731.17,7168.4,0.4186
Provider_0170,MI,KIDNEY & URINARY TRACT INFECTIONS,Renal,236,10073.51,3820.35,3373.08,0.3792
Provider_0173,SC,SPINAL FUSION,Orthopedic,252,28819.79,10132.69,8868.41,0.3516
Provider_0288,WI,TRANSIENT ISCHEMIA,Neurological,70,12756.2,5155.12,4145.45,0.4041
Provider_0180,SC,INTRACRANIAL HEMORRHAGE,Neurological,85,13727.02,4394.24,3904.83,0.3201
Provider_0108,MI,RENAL FAILURE,Renal,102,10819.76,4283.56,3601.32,0.3959
Provider_0144,PA,SPINAL FUSION,Orthopedic,16,30457.64,10833.44,9702.59,0.3557
Provider_0229,WA,CHEMOTHERAPY,Oncology,56,29787.52,9469.94,8199.51,0.3179
Provider_0239,KY,RADIATION THERAPY,Oncology,77,21361.29,6155.19,5769.15,0.2881
Provider_0069,TX,HEART FAILURE & SHOCK,Cardiovascular,139,18769.94,7764.77,7071.26,0.4137
Provider_0220,MN,PANCREATIC DISORDERS,Digestive,44,12630.69,4876.69,3911.88,0.3861
Provider_0100,PA,PERCUTANEOUS CARDIOVASCULAR PROC,Cardiovascular,33,16178.52,6259.0,5764.77,0.3869
Provider_0223,CA,MAJOR JOINT REPLACEMENT - LOWER EXTREMITY,Orthopedic,71,40277.7,14858.97,11988.15,0.3689
Provider_0247,MI,SEIZURES,Neurological,93,15893.37,5972.01,5329.29,0.3758
Provider_0179,TX,CORONARY BYPASS,Cardiovascular,203,21522.78,7754.04,6352.69,0.3603
Provider_0012,NJ,RADIATION THERAPY,Oncology,216,30357.03,9378.37,7888.1,0.3089
Provider_0090,AZ,CORONARY BYPASS,Cardiovascular,125,17942.9,6671.19,5722.61,0.3718
Provider_0217,UT,DIGESTIVE MALIGNANCY,Digestive,92,13110.14,4310.18,4053.72,0.3288
Provider_0036,CO,BREAST PROCEDURES,Oncology,33,28151.69,11062.4,10493.53,0.393
Provider_0013,MO,PULMONARY EDEMA,Respiratory,60,9629.52,3853.52,3330.79,0.4002
Provider_0187,SC,DIGESTIVE MALIGNANCY,Digestive,66,10950.87,3827.53,3285.72,0.3495
Provider_0223,MD,PULMONARY EDEMA,Respiratory,391,12175.83,4014.21,3787.49,0.3297
Provider_0053,WI,HIP & FEMUR PROCEDURES,Orthopedic,20,24204.73,8818.79,7787.48,0.3643
Provider_0133,SC,PANCREATIC DISORDERS,Digestive,21,10803.38,3112.0,2746.12,0.2881
Provider_0253,FL,KIDNEY TRANSPLANT,Renal,156,14125.65,5315.83,4920.03,0.3763
Provider_0029,IL,CARDIAC CATHETERIZATION,Cardiovascular,40,19934.77,8070.9,6634.21,0.4049
Provider_0132,PA,CARDIAC CATHETERIZATION,Cardiovascular,65,21441.67,8847.15,8386.21,0.4126
Provider_0019,NY,RESPIRATORY INFECTIONS,Respiratory,88,12376.93,4687.29,3924.71,0.3787
Provider_0001,OH,MAJOR JOINT REPLACEMENT - LOWER EXTREMITY,Orthopedic,11,28392.87,8173.81,6684.73,0.2879
Provider_0117,FL,SEIZURES,Neurological,71,16478.64,4805.25,4225.04,0.2916
Provider_0203,IL,DIGESTIVE MALIGNANCY,Digestive,430,11627.02,4706.15,4137.44,0.4048
Provider_0143,OK,CORONARY BYPASS,Cardiovascular,152,13566.7,4114.38,3425.31,0.3033
Provider_0272,CA,SEIZURES,Neurological,68,22436.7,9157.22,8642.63,0.4081
Provider_0186,GA,PULMONARY EDEMA,Respiratory,126,8097.56,2480.58,2157.0,0.3063
Provider_0201,OK,TRANSIENT ISCHEMIA,Neurological,63,12138.67,4169.07,3355.47,0.3435
Provider_0082,CA,MAJOR JOINT REPLACEMENT - LOWER EXTREMITY,Orthopedic,148,34281.42,13970.7,12900.27,0.4075
Provider_0005,MD,PANCREATIC DISORDERS,Digestive,311,12446.1,5012.45,4424.68,0.4027
Provider_0063,SC,SPINAL FUSION,Orthopedic,209,29458.27,8868.66,7885.3,0.3011
Provider_0006,LA,RADIATION THERAPY,Oncology,111,16694.47,4760.51,3903.99,0.2852
Provider_0202,OK,PANCREATIC DISORDERS,Digestive,176,12070.35,4368.51,3970.62,0.3619
Provider_0288,MI,SIMPLE PNEUMONIA & PLEURISY,Respiratory,81,8217.99,3398.69,3027.98,0.4136
Provider_0268,TX,PULMONARY EDEMA,Respiratory,12,10141.14,3515.62,3250.92,0.3467
Provider_0207,CA,MAJOR JOINT REPLACEMENT - LOWER EXTREMITY,Orthopedic,21,42605.75,15448.58,13471.27,0.3626
Provider_0098,PA,SEIZURES,Neurological,206,18366.12,6729.66,6373.45,0.3664
Provider_0030,MO,RESPIRATORY INFECTIONS,Respiratory,21,9043.72,3225.37,2798.45,0.3566
Provider_0069,SC,MAJOR JOINT REPLACEMENT - LOWER EXTREMITY,Orthopedic,368,22212.36,9100.9,7952.52,0.4097
Provider_0249,TX,SEIZURES,Neurological,57,17682.89,5545.71,4499.68,0.3136
Provider_0195,SC,CORONARY BYPASS,Cardiovascular,27,17017.01,5198.07,4427.98,0.3055
Provider_0092,FL,KNEE PROCEDURES,Orthopedic,32,27739.19,7925.69,6541.39,0.2857
Provider_0078,MI,CARDIAC CATHETERIZATION,Cardiovascular,105,19040.21,6280.2,5866.54,0.3298
Provider_0107,KY,STROKE,Neurological,21,13595.65,5115.91,4485.36,0.3763
Provider_0127,TN,CARDIAC ARRHYTHMIA,Cardiovascular,253,14249.21,5181.28,4911.54,0.3636
Provider_0187,AL,SPINAL FUSION,Orthopedic,181,24655.44,9390.57,7600.27,0.3809
Provider_0294,AL,CORONARY BYPASS,Cardiovascular,280,15745.03,5581.55,4554.97,0.3545
Provider_0231,FL,PULMONARY EDEMA,Respiratory,47,9545.52,2699.57,2290.08,0.2828
Provider_0233,MN,PULMONARY EDEMA,Respiratory,41,9428.64,3265.66,2786.48,0.3464
Provider_0083,WA,KNEE PROCEDURES,Orthopedic,102,35461.25,13629.94,11786.48,0.3844
Provider_0229,MI,CHRONIC OBSTRUCTIVE PULMONARY,Respiratory,285,9755.07,3065.14,2681.19,0.3142
Provider_0095,LA,CARDIAC CATHETERIZATION,Cardiovascular,29,14659.09,4434.31,3671.54,0.3025
Provider_0006,AL,KIDNEY TRANSPLANT,Renal,16,8007.2,3023.31,2870.9,0.3776
Provider_0062,TX,HIP & FEMUR PROCEDURES,Orthopedic,250,34988.04,11059.94,9131.45,0.3161
Provider_0118,LA,PANCREATIC DISORDERS,Digestive,111,9897.04,3837.37,3177.56,0.3877
Provider_0038,NY,MAJOR JOINT REPLACEMENT - LOWER EXTREMITY,Orthopedic,169,40589.41,15383.88,14078.82,0.379
Provider_0010,PA,HIP & FEMUR PROCEDURES,Orthopedic,88,30470.35,8752.77,7444.15,0.2873
Provider_0273,PA,PERCUTANEOUS CARDIOVASCULAR PROC,Cardiovascular,37,20593.44,6019.49,4940.94,0.2923
Provider_0236,NC,TRANSIENT ISCHEMIA,Neurological,121,15735.62,4641.03,4305.06,0.2949
Provider_0060,MO,CORONARY BYPASS,Cardiovascular,344,14962.01,4328.65,3944.13,0.2893
Provider_0078,CT,HEART FAILURE & SHOCK,Cardiovascular,176,25421.35,10054.62,8324.83,0.3955
Provider_0014,KY,KIDNEY & URINARY TRACT INFECTIONS,Renal,261,9666.21,3811.62,3300.37,0.3943
Provider_0104,MD,STROKE,Neurological,175,18159.35,5674.98,5305.74,0.3125
Provider_0015,GA,INTRACRANIAL HEMORRHAGE,Neurological,77,13772.42,5264.88,4759.75,0.3823
Provider_0289,MA,TRANSIENT ISCHEMIA,Neurological,172,20486.75,8597.82,7848.61,0.4197
Provider_0159,UT,CARDIAC ARRHYTHMIA,Cardiovascular,182,20823.62,6827.89,6303.43,0.3279
Provider_0130,MA,KIDNEY TRANSPLANT,Renal,201,12905.34,4027.69,3658.51,0.3121
Provider_0254,OR,INTRACRANIAL HEMORRHAGE,Neurological,110,18160.93,6608.11,6106.03,0.3639
Provider_0141,MI,CHRONIC OBSTRUCTIVE PULMONARY,Respiratory,71,9287.42,3832.17,3153.89,0.4126
Provider_0133,GA,MAJOR JOINT REPLACEMENT - LOWER EXTREMITY,Orthopedic,45,29369.95,10661.73,8692.85,0.363
Provider_0296,AL,CARDIAC ARRHYTHMIA,Cardiovascular,187,15010.1,4347.66,3528.55,0.2896
Provider_0001,NC,RADIATION THERAPY,Oncology,25,19080.32,5784.64,4789.38,0.3032
Provider_0117,MN,KNEE PROCEDURES,Orthopedic,122,29718.57,11417.73,9486.27,0.3842
Provider_0017,KY,RESPIRATORY INFECTIONS,Respiratory,74,9229.37,3776.79,3285.26,0.4092
Provider_0161,NJ,CORONARY BYPASS,Cardiovascular,28,21006.38,7347.43,6339.65,0.3498
Provider_0084,IN,PANCREATIC DISORDERS,Digestive,130,9434.6,3518.12,2908.45,0.3729
Provider_0215,NC,PERCUTANEOUS CARDIOVASCULAR PROC,Cardiovascular,101,15309.77,4928.88,4172.25,0.3219
Provider_0144,MD,CORONARY BYPASS,Cardiovascular,61,21534.84,7913.98,6779.58,0.3675
Provider_0114,GA,STROKE,Neurological,189,14373.28,5079.73,4399.62,0.3534
Provider_0266,UT,HIP & FEMUR PROCEDURES,Orthopedic,23,27076.76,7867.71,7183.11,0.2906
Provider_0008,MI,RENAL FAILURE,Renal,73,9636.69,2908.95,2639.56,0.3019
Provider_0239,CA,HIP & FEMUR PROCEDURES,Orthopedic,41,41019.14,11598.55,9459.97,0.2828
Provider_0288,PA,HEART FAILURE & SHOCK,Cardiovascular,107,20833.18,8182.11,7759.17,0.3927
Provider_0007,AL,INFLAMMATORY BOWEL DISEASE,Digestive,70,11055.06,3412.67,2880.2,0.3087
Provider_0002,MI,CARDIAC CATHETERIZATION,Cardiovascular,13,16771.9,6065.15,5235.52,0.3616
Provider_0020,CA,INFLAMMATORY BOWEL DISEASE,Digestive,59,18448.36,6103.24,4913.93,0.3308
Provider_0280,PA,PULMONARY EDEMA,Respiratory,106,9474.99,3043.61,2867.89,0.3212
Provider_0014,IN,KIDNEY TRANSPLANT,Renal,279,11435.09,3882.55,3119.13,0.3395
Provider_0154,NC,MAJOR JOINT REPLACEMENT - LOWER EXTREMITY,Orthopedic,71,24121.06,8932.21,7710.78,0.3703
Provider_0041,KY,RENAL FAILURE,Renal,48,8384.52,3420.9,2797.14,0.408
Provider_0027,IL,CARDIAC CATHETERIZATION,Cardiovascular,136,22990.66,7101.79,5693.15,0.3089
Provider_0173,LA,RESPIRATORY INFECTIONS,Respiratory,119,8301.22,3097.23,2559.26,0.3731
Provider_0193,IN,KNEE PROCEDURES,Orthopedic,186,25701.08,8469.58,7993.54,0.3295
Provider_0113,MD,CORONARY BYPASS,Cardiovascular,43,20948.02,6712.11,5727.78,0.3204
Provider_0289,OR,RESPIRATORY INFECTIONS,Respiratory,367,9789.39,4048.62,3320.88,0.4136
Provider_0201,KY,PERCUTANEOUS CARDIOVASCULAR PROC,Cardiovascular,31,18335.46,7306.63,6892.23,0.3985
Provider_0042,KY,MAJOR JOINT REPLACEMENT - LOWER EXTREMITY,Orthopedic,19,27533.26,9619.26,8688.7,0.3494
Provider_0012,LA,CORONARY BYPASS,Cardiovascular,19,13323.82,5535.75,4432.97,0.4155
Provider_0012,MD,RESPIRATORY INFECTIONS,Respiratory,309,9535.55,3938.5,3414.29,0.413
Provider_0198,UT,RADIATION THERAPY,Oncology,168,24910.52,9272.43,8380.81,0.3722
Provider_0288,GA,HEART FAILURE & SHOCK,Cardiovascular,134,18683.65,5366.38,4832.36,0.2872
Provider_0117,MI,STROKE,Neurological,33,16046.35,6549.61,5273.04,0.4082
Provider_0103,OH,PULMONARY EDEMA,Respiratory,24,8978.55,3513.74,3203.68,0.3913
Provider_0183,IN,TRANSIENT ISCHEMIA,Neurological,41,12312.34,3580.1,3238.0,0.2908
Provider_0108,SC,HEART FAILURE & SHOCK,Cardiovascular,102,17132.22,6566.78,5765.79,0.3833
Provider_0096,UT,HIP & FEMUR PROCEDURES,Orthopedic,254,24008.44,9662.39,8496.54,0.4025
Provider_0272,FL,PERCUTANEOUS CARDIOVASCULAR PROC,Cardiovascular,16,17126.45,4885.55,4260.04,0.2853
Provider_0177,AL,SIMPLE PNEUMONIA & PLEURISY,Respiratory,185,7621.07,2583.47,2352.6,0.339
Provider_0193,FL,KNEE PROCEDURES,Orthopedic,50,28840.13,9018.45,7271.71,0.3127
Provider_0293,CO,LYMPHOMA & LEUKEMIA,Oncology,23,24972.88,7427.47,7007.54,0.2974
Provider_0226,CT,PULMONARY EDEMA,Respiratory,74,13024.03,5369.32,4671.9,0.4123
Provider_0107,LA,INFLAMMATORY BOWEL DISEASE,Digestive,41,12318.74,4569.64,4072.29,0.371
Provider_0047,TX,SIMPLE PNEUMONIA & PLEURISY,Respiratory,34,11116.26,3657.44,2957.69,0.329
Provider_0062,SC,KIDNEY TRANSPLANT,Renal,119,10006.81,3166.48,2777.91,0.3164
Provider_0098,IN,CORONARY BYPASS,Cardiovascular,40,15373.25,5460.21,4853.81,0.3552
Provider_0170,NJ,KIDNEY TRANSPLANT,Renal,48,14317.06,4097.73,3801.99,0.2862
Provider_0251,NC,SIMPLE PNEUMONIA & PLEURISY,Respiratory,106,7369.33,2484.82,2126.76,0.3372
Provider_0081,PA,CARDIAC ARRHYTHMIA,Cardiovascular,20,17521.51,6582.07,5340.82,0.3757
Provider_0040,MO,KNEE PROCEDURES,Orthopedic,97,29742.29,10706.77,9628.78,0.36
Provider_0059,OR,KIDNEY & URINARY TRACT INFECTIONS,Renal,263,13662.1,5084.8,4716.6,0.3722
Provider_0188,TN,PANCREATIC DISORDERS,Digestive,42,12695.74,3742.92,3386.77,0.2948
Provider_0158,OH,KIDNEY & URINARY TRACT INFECTIONS,Renal,256,9462.6,3743.54,3067.2,0.3956
Provider_0013,OH,PERCUTANEOUS CARDIOVASCULAR PROC,Cardiovascular,107,20066.81,6345.45,5260.19,0.3162
Provider_0163,AZ,SIMPLE PNEUMONIA & PLEURISY,Respiratory,129,8722.43,3216.49,2833.72,0.3688
Provider_0037,TN,CARDIAC ARRHYTHMIA,Cardiovascular,77,18533.49,6206.89,5132.63,0.3349
Provider_0193,CT,INFLAMMATORY BOWEL DISEASE,Digestive,149,13106.14,4221.95,3826.04,0.3221
Provider_0251,MN,INTRACRANIAL HEMORRHAGE,Neurological,239,19384.14,7262.22,6295.57,0.3746
Provider_0058,FL,TRANSIENT ISCHEMIA,Neurological,12,13895.44,4520.26,3947.53,0.3253
Provider_0271,SC,SPINAL FUSION,Orthopedic,85,29087.67,8560.71,7945.46,0.2943
Provider_0027,SC,KIDNEY TRANSPLANT,Renal,39,8507.11,3192.46,2867.39,0.3753
Provider_0084,FL,BREAST PROCEDURES,Oncology,13,26277.24,10703.6,9939.41,0.4073
Provider_0163,IL,DIGESTIVE MALIGNANCY,Digestive,506,13349.51,5408.87,4513.67,0.4052
Provider_0145,IN,TRANSIENT ISCHEMIA,Neurological,109,14007.5,4987.41,4109.06,0.3561
Provider_0181,CT,PANCREATIC DISORDERS,Digestive,82,15534.36,4388.47,4035.28,0.2825
Provider_0236,AL,RADIATION THERAPY,Oncology,34,18919.43,5300.7,4716.3,0.2802
Provider_0072,WI,SPINAL FUSION,Orthopedic,40,24868.57,9231.53,7836.54,0.3712
Provider_0095,NJ,LYMPHOMA & LEUKEMIA,Oncology,11,24650.04,8256.51,7199.6,0.3349
Provider_0179,IL,SIMPLE PNEUMONIA & PLEURISY,Respiratory,179,11928.94,4856.21,4412.56,0.4071
Provider_0148,AL,PERCUTANEOUS CARDIOVASCULAR PROC,Cardiovascular,528,13768.06,4816.68,4299.96,0.3498
Provider_0077,CA,KNEE PROCEDURES,Orthopedic,350,33088.07,11739.44,10945.62,0.3548
Provider_0106,WI,RESPIRATORY INFECTIONS,Respiratory,27,9249.0,3482.48,3204.19,0.3765
Provider_0223,SC,TRANSIENT ISCHEMIA,Neurological,131,14483.92,4119.55,3874.15,0.2844
Provider_0007,NC,INFLAMMATORY BOWEL DISEASE,Digestive,363,11928.44,4648.26,4145.5,0.3897
Provider_0014,NJ,RENAL FAILURE,Renal,213,14197.02,5254.33,4618.35,0.3701
Provider_0055,NJ,INFLAMMATORY BOWEL DISEASE,Digestive,44,13913.71,5594.0,4659.15,0.402
Provider_0211,AZ,PULMONARY EDEMA,Respiratory,256,9286.49,2656.98,2190.02,0.2861
Provider_0093,MN,PULMONARY EDEMA,Respiratory,451,10474.41,3225.45,2909.46,0.3079
Provider_0024,MN,HEART FAILURE & SHOCK,Cardiovascular,230,17709.21,7340.63,6330.46,0.4145
Provider_0096,WI,TRANSIENT ISCHEMIA,Neurological,65,17576.46,5020.1,4668.97,0.2856
Provider_0295,NC,MAJOR JOINT REPLACEMENT - LOWER EXTREMITY,Orthopedic,70,27658.8,10058.99,9243.64,0.3637
Provider_0225,MI,CHEMOTHERAPY,Oncology,302,20728.54,7611.84,6810.57,0.3672
Provider_0293,FL,INFLAMMATORY BOWEL DISEASE,Digestive,297,11831.04,3706.15,3504.94,0.3133
Provider_0084,PA,HEART FAILURE & SHOCK,Cardiovascular,44,21825.01,7471.63,6554.29,0.3423
Provider_0164,TX,HEART FAILURE & SHOCK,Cardiovascular,69,23548.03,7444.44,6688.91,0.3161
Provider_0257,WA,CORONARY BYPASS,Cardiovascular,268,21701.7,7081.8,6142.16,0.3263
Provider_0107,PA,CORONARY BYPASS,Cardiovascular,366,17735.47,5857.94,5019.69,0.3303
Provider_0207,PA,PULMONARY EDEMA,Respiratory,87,10824.59,4251.83,3774.79,0.3928
Provider_0282,IL,CARDIAC CATHETERIZATION,Cardiovascular,14,24098.11,7162.34,5978.19,0.2972
Provider_0206,CT,INTRACRANIAL HEMORRHAGE,Neurological,82,22066.05,7155.18,6268.55,0.3243
Provider_0285,VA,CARDIAC CATHETERIZATION,Cardiovascular,88,20602.68,5818.88,4937.14,0.2824
Provider_0126,LA,TRANSIENT ISCHEMIA,Neurological,96,13325.31,4975.15,4084.34,0.3734
Provider_0264,WA,CARDIAC ARRHYTHMIA,Cardiovascular,37,23451.15,9750.7,7937.9,0.4158
Provider_0114,CT,MAJOR JOINT REPLACEMENT - LOWER EXTREMITY,Orthopedic,406,32877.5,12251.1,11599.27,0.3726
Provider_0289,MO,TRANSIENT ISCHEMIA,Neurological,249,15274.1,4518.62,4154.09,0.2958
Provider_0192,CA,CARDIAC CATHETERIZATION,Cardiovascular,141,25563.96,8405.44,6925.18,0.3288
Provider_0098,IL,SIMPLE PNEUMONIA & PLEURISY,Respiratory,72,11640.02,4534.18,4012.99,0.3895
Provider_0129,CT,INFLAMMATORY BOWEL DISEASE,Digestive,142,16991.19,6570.83,6043.01,0.3867
Provider_0093,AL,RESPIRATORY INFECTIONS,Respiratory,10,7371.58,2442.24,2098.92,0.3313
Provider_0110,LA,TRANSIENT ISCHEMIA,Neurological,66,12130.55,3520.86,3135.39,0.2902
Provider_0117,AZ,SEIZURES,Neurological,93,16065.33,6638.31,6154.21,0.4132
Provider_0043,CT,PULMONARY EDEMA,Respiratory,29,11636.08,3658.96,3188.8,0.3144
Provider_0117,TN,SPINAL FUSION,Orthopedic,161,29847.72,8433.55,6994.51,0.2826
Provider_0290,OK,BREAST PROCEDURES,Oncology,324,16481.09,6770.78,5773.74,0.4108
Provider_0136,AZ,KNEE PROCEDURES,Orthopedic,98,31277.95,12828.49,11287.01,0.4101
Provider_0263,TN,CARDIAC ARRHYTHMIA,Cardiovascular,71,19308.03,7631.39,6703.2,0.3952
Provider_0036,VA,CARDIAC CATHETERIZATION,Cardiovascular,34,18018.27,7046.53,5833.01,0.3911
Provider_0141,WI,HIP & FEMUR PROCEDURES,Orthopedic,212,26911.19,9518.75,7775.35,0.3537
Provider_0121,SC,STROKE,Neurological,268,12273.73,3801.01,3389.16,0.3097
Provider_0060,CT,KIDNEY & URINARY TRACT INFECTIONS,Renal,42,15443.78,4918.42,4541.63,0.3185
Provider_0049,OH,SEIZURES,Neurological,184,13535.95,4593.45,3780.17,0.3394
Provider_0160,FL,KIDNEY & URINARY TRACT INFECTIONS,Renal,39,10495.98,2973.61,2665.23,0.2833
Provider_0085,NJ,CARDIAC CATHETERIZATION,Cardiovascular,118,23589.93,9867.43,8095.89,0.4183
Provider_0019,MO,SPINAL FUSION,Orthopedic,80,28119.24,7935.67,6754.55,0.2822
Provider_0164,NY,GI HEMORRHAGE,Digestive,293,18823.02,5968.5,5352.52,0.3171
Provider_0130,FL,MAJOR JOINT REPLACEMENT - LOWER EXTREMITY,Orthopedic,40,29461.28,8535.5,7492.97,0.2897
Provider_0300,OK,PANCREATIC DISORDERS,Digestive,132,9751.38,3539.69,3192.87,0.363
Provider_0286,CT,SPINAL FUSION,Orthopedic,142,41928.21,15624.86,13807.18,0.3727
Provider_0208,WI,PERCUTANEOUS CARDIOVASCULAR PROC,Cardiovascular,21,20931.32,7721.45,7051.42,0.3689
Provider_0003,MI,HEART FAILURE & SHOCK,Cardiovascular,216,15613.95,5029.56,4763.92,0.3221
Provider_0121,TN,RESPIRATORY INFECTIONS,Respiratory,71,7317.1,3065.48,2878.64,0.4189
Provider_0038,UT,SPINAL FUSION,Orthopedic,45,31521.44,12641.86,11267.35,0.4011
Provider_0258,WI,GI HEMORRHAGE,Digestive,25,10931.8,3583.82,3071.82,0.3278
Provider_0262,OR,HEART FAILURE & SHOCK,Cardiovascular,53,19581.08,6708.64,5971.29,0.3426
Provider_0042,FL,PANCREATIC DISORDERS,Digestive,591,14878.06,4600.17,4322.27,0.3092
Provider_0007,IL,PANCREATIC DISORDERS,Digestive,144,13928.79,5306.86,4357.95,0.381
Provider_0276,WI,PANCREATIC DISORDERS,Digestive,71,10710.23,4040.9,3442.5,0.3773
Provider_0110,MO,STROKE,Neurological,112,13892.62,4500.12,4009.41,0.3239
Provider_0025,TN,DIGESTIVE MALIGNANCY,Digestive,55,12781.57,5055.47,4549.65,0.3955
Provider_0020,MA,BREAST PROCEDURES,Oncology,189,25531.57,9273.08,8721.03,0.3632
Provider_0287,MO,RESPIRATORY INFECTIONS,Respiratory,132,7580.77,2780.19,2495.3,0.3667
Provider_0056,MD,SPINAL FUSION,Orthopedic,83,28756.61,12057.11,9750.19,0.4193
Provider_0263,MA,RADIATION THERAPY,Oncology,32,25057.04,9761.66,8197.92,0.3896
Provider_0221,TN,STROKE,Neurological,95,16184.39,6375.94,5689.14,0.394
Provider_0007,WI,SEIZURES,Neurological,76,13167.5,5321.31,4616.07,0.4041
Provider_0062,OR,SPINAL FUSION,Orthopedic,33,30352.71,12594.4,10545.13,0.4149
Provider_0065,OR,SPINAL FUSION,Orthopedic,46,34375.92,10285.12,9053.95,0.2992
Provider_0188,WA,CARDIAC ARRHYTHMIA,Cardiovascular,129,19863.35,5741.43,4629.86,0.289
Provider_0112,NJ,KNEE PROCEDURES,Orthopedic,47,32336.04,9629.93,8952.94,0.2978
Provider_0113,OK,INTRACRANIAL HEMORRHAGE,Neurological,66,12746.06,4388.76,4027.79,0.3443
Provider_0242,NC,HEART FAILURE & SHOCK,Cardiovascular,353,18968.25,5514.04,4642.3,0.2907
Provider_0200,KY,PULMONARY EDEMA,Respiratory,84,8594.89,3199.96,2989.62,0.3723
Provider_0087,IN,TRANSIENT ISCHEMIA,Neurological,81,15992.28,4714.48,4470.46,0.2948
Provider_0017,PA,HEART FAILURE & SHOCK,Cardiovascular,174,20424.52,8012.5,6536.64,0.3923
